marca,nombre,ml,genero,presentacion,precio,precio_oferta,disponible,etiquetas,familia,descripcion,imagen,destacado
Azzaro,The Most Wanted Eau de Parfum Intense,100,caballero,,,,si,,,,azzaro-the-most-wanted.png,si
Carolina Herrera,Bad Boy Cobalt Elixir Eau de Parfum,100,caballero,,,,si,,,,ch-bad-boy-cobalt-elixir.png,si
Jean Paul Gaultier,Le Male Le Parfum Intense,75,caballero,,,,si,,,,jpg-le-male-le-parfum-intense.png,si
Giorgio Armani,Acqua di Giò Profondo Parfum,100,caballero,,,,si,,,,armani-acqua-di-gio-profondo-parfum.png,
Lancôme,La Vie Est Belle Vanille Nude Eau de Parfum,100,dama,,,,si,,,,lancome-la-vie-est-belle-vanille-nude.png,si
Versace,Eros Energy Pour Homme Eau de Parfum,100,caballero,,,,si,,,,versace-eros-energy.png,
Valentino,Born in Roma Intense Eau de Parfum,100,caballero,,,,si,,,,valentino-born-in-roma-intense.png,
Versace,Eros Eau de Parfum,100,caballero,,,,si,,,,versace-eros-edp.png,
Carolina Herrera,Very Good Girl Eau de Parfum,100,dama,Set,,,si,,,,https://drive.google.com/thumbnail?id=18Pj2LeFxPBnFSSbiBZ0byZKV-HBmL9Hx,
Burberry,Her Eau de Parfum,100,dama,,,,si,,,,https://drive.google.com/thumbnail?id=1by2PtoddHROl_xZcaJISK5KqyaYC4w2u,
Rasasi,Hawas Ice Eau de Parfum,100,caballero,,,,si,,,,https://drive.google.com/thumbnail?id=1Wwyf5ZfbKxtPMZogTmHyhhI31Htk3WzH,
Marc Jacobs,Perfect Eau de Parfum,100,dama,,,,si,,,,https://drive.google.com/thumbnail?id=1zNE_Xv7JgB0Jh7KiO2WBmajZta9C2GmI,
Prada,Paradigme Eau de Parfum,100,caballero,,,,si,lanzamiento,,,https://drive.google.com/thumbnail?id=1hHx0P2Yk_VBJiFXk40-cfMFqHPNiN-Uf,si
